Um_dPHdx,"U momentum tendency from Hydrostatic Pressure grad (m/s^2)",
UVEL,"U Comp of Velocity (m/s) that is along the model's x-direction but may not be eastward. EVEL is the eastward velocity. ",
UVELMASS,"U Geometry-Weighted Comp of Velocity (m/s) that is UVEL times hFacW to account for partially filled cells (hFacW is between 0 and 1.) ",
UVELSTAR,"U Comp of Bolus Velocity (m/s) that is along the model's x-direction but may not be eastward. ",
Vm_dPHdy,"V momentum tendency from Hydrostatic Pressure grad (m/s^2)",
VVEL,"V Comp of Velocity (m/s) that is along the model's y-direction but may not be northward. NVEL is the northward velocity. ",
VVELMASS,"V Geometry-Weighted Comp of Velocity (m/s) that is VVEL times hFacS to account for partially filled cells (hFacS is between 0 and 1.)",
VVELSTAR,"V Comp of Bolus Velocity (m/s) that is along the model's y-direction but may not be northward. ",
WVELMASS,"Vertical Comp of Velocity (m/s)",
WVELSTAR,"Vertical Comp of Bolus Velocity (m/s)",
